able,a ,  capable
productive,a ,  generative
mutation,n ,  genetic mutation
genetic,a ,  genetical
exploration,n ,  geographic expedition
zone,n ,  geographical region
circle,n ,  geometric figure
sign,n ,  gesture that is part of a sign language
age,v ,  get older
board,v ,  get on
abolish,v ,  get rid of
master,v ,  get the hang of
meet,v ,  get to know
ghostwriter,n ,  ghost
charity,n ,  gift
present,n ,  gift
talented,a ,  gifted
bless,v ,  give a benediction to
define,v ,  give a definition for
perform,v ,  give a performance
pay,v ,  give money in exchange for goods or services
thank,v ,  give thanks
resignation,n ,  giving notice
secretion,n ,  glandular substance
marble,n ,  glass ball for games
glare,v ,  glower
return,v ,  go back
follow,v ,  go behind
retire,v ,  go into retirement
accompany,v ,  go or come with
fail,v ,  go wrong
end,n ,  goal
departure,n ,  going away
golf,n ,  golf game
peanut,n ,  goober
charm,n ,  good luck charm
character,n ,  good repute
bloodshed,n ,  gore
overeat,v ,  gorge
extort,v ,  gouge
rule,v ,  govern
ministry,n ,  government department
minister,n ,  government minister
step,n ,  gradation
gradient,n ,  grade of a slope
drift,n ,  gradual departure from a course
rice,n ,  grains used as food
grandmother,n ,  grandma
hay,n ,  grass mowed and cured
tip,n ,  gratuity
major,a ,  greater in scope or effect
high,a ,  greater than normal in degree or intensity or amount
grudge,n ,  grievance
mill,n ,  grinder
monstrous,a ,  grotesque
army,n ,  ground forces
yard,n ,  grounds
flock,n ,  group of animals
herd,n ,  group of cattle
pack,n ,  group of hunting animals
organisation,n ,  group of people who work together
fleet,n ,  group of ships
troop,n ,  group of soldiers
set,n ,  group of things of the same kind that belong together
adult,n ,  grownup
direct,v ,  guide actors
guide,n ,  guidebook
guilt,n ,  guiltiness
subject,n ,  guinea pig
barrel,n ,  gun barrel
water,n ,  H2O
haircut,n ,  hairstyle
hemisphere,n ,  half of the terrestrial globe
hall,n ,  hallway
hammer,n ,  hand tool
basket,n ,  handbasket
manual,n ,  handbook
umbrella,n ,  handheld collapsible canopy
treat,v ,  handle
treatment,n ,  handling
glove,n ,  handwear
coincidence,n ,  happenstance
difficult,a ,  hard
wood,n ,  hard substance under the bark of trees
nut,n ,  hard-shelled seed
collar,n ,  harness
crop,n ,  harvest
harvest,n ,  harvest time
weigh,v ,  have a certain weight
include,v ,  have as a part
have,v ,  have got
wear,v ,  have on clothes
dine,v ,  have supper
afford,v ,  have the financial means
brown,a ,  having a brown color
sour,a ,  having a sharp biting taste
steep,a ,  having a sharp inclination
smooth,a ,  having a surface free from roughness
sharp,a ,  having a thin edge or sharp point
sensitive,a ,  having acute mental or emotional sensibility
noble,a ,  having elevated character
complete,a ,  having every necessary part
square,a ,  having four equal sides and four right angles
deep,a ,  having great spatial extension downward
short,a ,  having little length
weak,a ,  having little physical or spiritual strength
infinite,a ,  having no limits or boundaries in time or space
official,a ,  having official authority
mature,a ,  having reached full natural growth or development
meadow,n ,  hayfield
veil,n ,  head covering
governor,n ,  head of a state
cap,n ,  headdress
hat,n ,  headdress
helmet,n ,  headgear
title,n ,  heading
clearance,n ,  headroom
therapist,n ,  healer
listen,v ,  hear
rumor,n ,  hearsay
heat,n ,  heating system
hand,n ,  helping hand
dome,n ,  hemispherical roof
catch,n ,  hidden drawback
retreat,n ,  hideaway
fever,n ,  high body temperature
drive,n ,  high motivation
highlight,n ,  high spot
extreme,n ,  highest degree
age,n ,  historic period
period,n ,  historic period
beat,v ,  hit repeatedly
study,v ,  hit the books
slap,v ,  hit with a flat surface
punch,v ,  hit with the fist
pawn,v ,  hock
custody,n ,  holding by the police
delay,n ,  holdup
resort,n ,  holiday resort
tube,n ,  hollow cylinder
bubble,n ,  hollow globule of gas
habitat,n ,  home ground
return,n ,  homecoming
housewife,n ,  homemaker
honor,n ,  honorableness
addicted,a ,  hooked
ring,n ,  hoop
tire,n ,  hoop covering a wheel
bar,n ,  horizontal rod that serves as a support for gymnasts
platform,n ,  horizontal surface
flat,a ,  horizontally level
ward,n ,  hospital ward
enemy,n ,  hostile people
age,n ,  how long something has existed
husband,n ,  hubby
color,n ,  hue
embrace,v ,  hug
face,n ,  human face
foot,n ,  human foot
arm,n ,  human limb
humanity,n ,  humanness
comedy,n ,  humorous drama
hunting,n ,  hunt
safari,n ,  hunting expedition
hunter,n ,  huntsman
cross,n ,  hybrid
theory,n ,  hypothesis
preoccupation,n ,  idea that preoccupies the mind
value,n ,  ideal accepted by some individual or group
card,n ,  identity card
identification,n ,  identity papers
sick,a ,  ill
projection,n ,  image projection
exemption,n ,  immunity
fair,a ,  impartial
jungle,n ,  impenetrable forest
temporary,a ,  impermanent
tool,n ,  implement
brush,n ,  implement with hairs or bristles
issue,n ,  important question
import,n ,  importation
effect,n ,  impression
unlikely,a ,  improbable
reform,v ,  improve by alteration or correction
tense,a ,  in a state of physical or nervous tension
regular,a ,  in accordance with fixed order or procedure
unanimous,a ,  in complete agreement
sound,a ,  in good condition
well,a ,  in good health
central,a ,  in or near a center
passive,a ,  inactive
dead,a ,  inanimate
helpless,a ,  incapacitated
list,v ,  include in a list
whole,a ,  including all components
conflict,n ,  incompatibility of dates or events
incapable,a ,  incompetent
increase,n ,  increment
few,n ,  indefinite but relatively small number
bay,n ,  indentation of a shoreline
separate,a ,  independent
needle,n ,  indicator for readings
person,n ,  individual
morale,n ,  individual psychological well-being
splurge,v ,  indulge oneself
cheap,a ,  inexpensive
implicit,a ,  inexplicit
childish,a ,  infantile
virus,n ,  infectious agent
hospital,n ,  infirmary
determine,v ,  influence
information,n ,  info
recording,n ,  information storage device
violation,n ,  infringement
consumption,n ,  ingestion
monk,n ,  inhabitant of a monastery
smoke,v ,  inhale a plant derivative
instinct,n ,  inherent aptitude
first,a ,  initial
shot,n ,  injection
burn,n ,  injury
inquiry,n ,  inquest
ask,v ,  inquire
dedicate,v ,  inscribe or address by way of compliment
bee,n ,  insect
cricket,n ,  insect
fly,n ,  insect
indoor,a ,  inside
exception,n ,  instance that does not conform to a rule
college,n ,  institution of higher education
charity,n ,  institution set up to provide help for the needy
foundation,n ,  institution supported by an endowment
teach,v ,  instruct
teacher,n ,  instructor
band,n ,  instrumentalists
means,n ,  instrumentality for accomplishing some end
abuse,n ,  insult
coverage,n ,  insurance coverage
policy,n ,  insurance policy
premium,n ,  insurance premium
guerrilla,n ,  insurgent
concern,n ,  interest
intervention,n ,  interference
inside,n ,  interior
bow,n ,  interlaced ribbons
present,a ,  intermediate between past and future
middle,n ,  intermediate part or section
medium,n ,  intermediate state
translate,v ,  interpret in another language
read,v ,  interpret something that is written or printed
version,n ,  interpretation from a certain viewpoint
question,v ,  interrogate
period,n ,  interval taken to complete one cycle
fascinate,v ,  intrigue
feeling,n ,  intuitive feeling
flood,n ,  inundation
innovation,n ,  invention
stock,n ,  inventory
speculate,v ,  invest at a risk
investment,n ,  investment funds
guest,n ,  invitee
host,n ,  inviter
physical,a ,  involving the body
anger,n ,  ire
publication,n ,  issue
dish,n ,  item of prepared food
loop,n ,  iteration
cell,n ,  jail cell
twitch,v ,  jerk
voyage,n ,  journey to some distant place
judgment,n ,  judicial decision
litigation,n ,  judicial proceeding
scramble,v ,  jumble
parachute,v ,  jump from an airplane
law,n ,  jurisprudence
justice,n ,  justness
deprive,v ,  keep from having or obtaining
terminal,n ,  keyboard and monitor
piano,n ,  keyboard instrument
child,n ,  kid
lion,n ,  king of beasts
affinity,n ,  kinship
oven,n ,  kitchen appliance
knee,n ,  knee joint
stab,v ,  knife
sweater,n ,  knitted garment
know,v ,  know how to do or perform something
education,n ,  knowledge acquired by learning
experienced,a ,  knowledgeable
maze,n ,  labyrinth
ignorance,n ,  lack of knowledge
weakness,n ,  lack of strength
failure,n ,  lack of success
shallow,a ,  lacking depth of intellect or knowledge or feeling
bald,a ,  lacking hair
soft,a ,  lacking in hardness
bare,a ,  lacking its natural or customary covering
shallow,a ,  lacking physical depth
girlfriend,n ,  lady friend
development,n ,  land developed for some purpose
island,n ,  land mass surrounded by water
site,n ,  land site
name,n ,  language unit by which a person or thing is known
hall,n ,  large building for meetings or entertainment
cathedral,n ,  large church
tiger,n ,  large feline
convention,n ,  large formal assembly
river,n ,  large natural stream of water
crowd,n ,  large number of things or people
stage,n ,  large platform on which people are seen by an audience
hall,n ,  large room for gatherings or entertainment
range,n ,  large tract of grassy open land where livestock graze
pumpkin,n ,  large yellow fruit
whip,v ,  lash
whip,n ,  lash used for whipping
permanent,a ,  lasting
persistent,a ,  lasting
tension,n ,  latent hostility
wash,v ,  launder
honor,n ,  laurels
crime,n ,  law-breaking
grass,n ,  lawn
leadership,n ,  leading
blade,n ,  leaf blade
thin,a ,  lean
academy,n ,  learned establishment
leave,v ,  leave behind
leave,n ,  leave of absence
leftovers,n ,  leftover food
action,n ,  legal action
majority,n ,  legal age
trustee,n ,  legal guardian
liability,n ,  legal obligation and responsibility
jurisdiction,n ,  legal power
trial,n ,  legal proceedings
bar,n ,  legal profession
verdict,n ,  legal verdict
legislature,n ,  legislative assembly
house,n ,  legislature
split,n ,  lengthwise crack
wound,n ,  lesion
minor,a ,  lesser in scope or effect
disappoint,v ,  let down
drop,v ,  let fall
disappointment,n ,  letdown
deadly,a ,  lethal
letter,n ,  letter of the alphabet
hover,v ,  levitate
dictionary,n ,  lexicon
lie,v ,  lie down
biography,n ,  life story
bulb,n ,  light bulb
pastel,n ,  light pale color
light,a ,  light-colored
blonde,a ,  light-haired
estimate,n ,  likely cost
branch,n ,  limb
leg,n ,  limb
limit,n ,  limitation
restraint,n ,  limitation
restriction,n ,  limitation
line,n ,  line of text
curve,n ,  line on a graph
diameter,n ,  line through the center of a circle
column,n ,  linear array of numbers
dialogue,n ,  lines spoken in drama or fiction
language,n ,  linguistic communication
soup,n ,  liquid food
eavesdrop,v ,  listen in
list,n ,  listing
torch,n ,  lit stick carried in one's hand
essay,n ,  literary composition
fiction,n ,  literary work
small,a ,  little
alive,a ,  live
enthusiasm,n ,  lively interest
resident,a ,  living in a particular place
social,a ,  living together or enjoying life in communities
lend,v ,  loan
engine,n ,  locomotive
heart,n ,  locus of feelings and intuitions
log,n ,  logarithm
implication,n ,  logical implication
linger,v ,  loiter
strip,n ,  long narrow piece
ridge,n ,  long narrow range of hills
pole,n ,  long rod
shaft,n ,  long rod or pole
bench,n ,  long seat
monkey,n ,  long-tailed primate
admire,v ,  look up to
Sunday,n ,  Lord's Day
misplace,v ,  lose
sacrifice,n ,  loss
drawing,n ,  lottery
chin,n ,  lower jaw
minimum,n ,  lower limit
fortune,n ,  luck
timber,n ,  lumber
intermediate,a ,  lying between two extremes
machinery,n ,  machines
trick,n ,  magic trick
dimension,n ,  magnitude
keep,v ,  maintain
brand,n ,  make
compromise,v ,  make a compromise
reproduce,v ,  make a copy
impress,v ,  make a good impression
guess,v ,  make a guess
punch,v ,  make a hole in
paint,v ,  make a painting
activate,v ,  make active
bark,v ,  make barking sounds
enhance,v ,  make better or more attractive
weave,v ,  make cloth
amuse,v ,  make laugh
obscure,v ,  make less visible
touch,v ,  make physical contact with
plan,v ,  make plans
revise,v ,  make revisions to
knit,v ,  make textiles by knitting
reconcile,v ,  make up
decide,v ,  make up one's mind
widen,v ,  make wider
presentation,n ,  making publicly available or known
king,n ,  male monarch
father,n ,  male parent
cancer,n ,  malignant disease
finance,n ,  management of money
park,v ,  maneuver a vehicle into a parking space
exploit,v ,  manipulate to one's advantage
speech,n ,  manner of speaking
laborer,n ,  manual laborer
industry,n ,  manufacture
chart,n ,  map for navigation
march,n ,  marching music
seal,n ,  marine mammal
whale,n ,  marine mammal
sign,n ,  mark
target,n ,  mark
sign,v ,  mark with one's signature
wild,a ,  marked by lack of restraint or control
distributor,n ,  marketing company
proposal,n ,  marriage proposal
wonder,n ,  marvel
communist,n ,  Marxist
rally,n ,  mass meeting
glacier,n ,  mass of ice
domination,n ,  mastery
chew,v ,  masticate
concrete,a ,  material
paper,n ,  material made of cellulose pulp
plastic,n ,  materials
function,n ,  mathematical function
product,n ,  mathematical product obtained by multiplication
proof,n ,  mathematical proofs
equation,n ,  mathematical statement
maximum,a ,  maximal
buffet,n ,  meal set out on a counter
beef,n ,  meat
ham,n ,  meat
pump,n ,  mechanical device
dressing,n ,  medical dressing
clinic,n ,  medical establishment
medicine,n ,  medical profession
specimen,n ,  medical specimen
symptom,n ,  medical symptom
conference,n ,  meeting
session,n ,  meeting
qualified,a ,  meeting the standards and requirements
director,n ,  member of a board of directors
partner,n ,  member of a partnership
citizen,n ,  member of a state
memorandum,n ,  memo
learn,v ,  memorize
crew,n ,  men who man a ship or aircraft
attitude,n ,  mental attitude
association,n ,  mental connection
institution,n ,  mental hospital
image,n ,  mental image
breakdown,n ,  mental or physical crack-up
freighter,n ,  merchant ship
hypnothize,v ,  mesmerize
silver,n ,  metal
steel,n ,  metal alloy
spring,n ,  metal elastic device
wire,n ,  metal ligament
metal,n ,  metallic element
chip,n ,  microchip
contact,n ,  middleman
center,n ,  midpoint
microphone,n ,  mike
action,n ,  military action
bomber,n ,  military aircraft
campaign,n ,  military campaign
occupation,n ,  military control
operation,n ,  military operation
aware,a ,  mindful
miner,n ,  mineworker
minimum,a ,  minimal
accident,n ,  mishap
distortion,n ,  misrepresenting
mixture,n ,  mix
confusion,n ,  mix-up
punch,n ,  mixed drink
cake,n ,  mixture of flour and sugar and eggs
air,n ,  mixture of gases
solution,n ,  mixture of two or more substances
groan,v ,  moan
mild,a ,  moderate
qualify,v ,  modify
routine,n ,  modus operandi
empire,n ,  monarchy
kingdom,n ,  monarchy
abbey,n ,  monastery
grant,n ,  monetary aid
fund,n ,  monetary fund
coin,n ,  money
currency,n ,  money
allowance,n ,  money allowed or granted
credit,n ,  money available for a client to borrow
change,n ,  money received in return
memorial,n ,  monument
virtue,n ,  moral excellence
ethics,n ,  moral philosophy
integrity,n ,  moral soundness
breakfast,n ,  morning meal
fool,n ,  moron
theme,n ,  motif
gesture,n ,  motion of hands or body
engine,n ,  motor
volcano,n ,  mountain
lid,n ,  movable top
go,v ,  move
stir,v ,  move an implement with a circular motion
retreat,v ,  move away
run,v ,  move fast on one's feet
dance,v ,  move in a pattern to music
skate,v ,  move on skates
glide,v ,  move smoothly and effortlessly
force,v ,  move something forcibly
swipe,v ,  move something with a swiping motion
bounce,v ,  move up and down repeatedly
rise,v ,  move upward
swing,v ,  move with a swaying motion
descent,n ,  movement downward
migration,n ,  movement from one country to another
circulation,n ,  movement through a circuit
mobile,a ,  moving or capable of moving readily
multimedia,n ,  multimedia system
contraction,n ,  muscular contraction
composer,n ,  music composer
orchestra,n ,  musical group
harmony,n ,  musical harmony
instrument,n ,  musical instrument
concert,n ,  musical performance
common,a ,  mutual
exchange,n ,  mutual expression of views
dragon,n ,  mythical creature
sodium,n ,  Na
call,v ,  name
identify,v ,  name
nomination,n ,  naming a candidate
lane,n ,  narrow road
narrow,a ,  narrow-minded
congress,n ,  national legislative assembly
affinity,n ,  natural attraction
hair,n ,  natural body covering
tongue,n ,  natural language
nature,n ,  natural physical world including plants and animals
law,n ,  natural scientific law
sickness,n ,  nausea
navy,n ,  naval forces
close,a ,  near
tie,n ,  necktie
thirsty,a ,  needing or desiring to drink
negligence,n ,  neglect
solid,a ,  neither liquid nor gaseous
cool,a ,  neither warm or very cold in temperature
nervous,a ,  neural
news,n ,  new information
paper,n ,  newspaper
headline,n ,  newspaper headline
press,n ,  newspaper writers
retired,a ,  no longer active in your work
lost,a ,  no longer in your possession or control
duke,n ,  nobleman
owl,n ,  nocturnal bird
bat,n ,  nocturnal mouselike mammal
soft,a ,  nonalcoholic
article,n ,  nonfictional prose forming an independent part of a publication
civilian,n ,  nonmilitary citizen
objective,a ,  nonsubjective
average,n ,  norm
role,n ,  normal or customary activity of a person
census,n ,  nose count
relative,a ,  not absolute
indirect,a ,  not direct in manner or language
ordinary,a ,  not exceptional
genuine,a ,  not fake or counterfeit
unfortunate,a ,  not favored by fortune
tough,a ,  not given to gentleness or sentimentality
dull,a ,  not having a sharp edge or point
FALSE,a ,  not in accordance with fact or reality
slow,a ,  not moving quickly
free,a ,  not occupied
modest,a ,  not offensive to sexual mores
public,a ,  not private
integrated,a ,  not segregated
inappropriate,a ,  not suitable
other,a ,  not the same
raw,a ,  not treated with heat
narrow,a ,  not wide spatially
hard,a ,  not yielding to pressure
notebook,n ,  notebook computer
reputation,n ,  notoriety for some characteristic
present,n ,  nowadays
harmful,a ,  noxious
reactor,n ,  nuclear reactor
chain,n ,  number of similar establishments
record,n ,  number of wins versus losses and ties
number,n ,  numeral
value,n ,  numerical quantity measured or assigned or computed
foster,v ,  nurture
food,n ,  nutrient
oak,n ,  oak tree
fixture,n ,  object firmly fixed in place
ball,n ,  object that is hit or thrown or kicked in games
stubborn,a ,  obstinate
reserve,v ,  obtain or arrange in advance
borrow,v ,  obtain temporarily
available,a ,  obtainable
head,n ,  obverse side of a tail
resident,n ,  occupant
profession,n ,  occupation
seasonal,a ,  occurring at a particular season
seasonal,a ,  occurring at or dependent on a particular season
sea,n ,  ocean
thick,a ,  of a specific thickness
primary,a ,  of first rank or importance or value
major,a ,  of full legal age
heavy,a ,  of great physical weight
long,a ,  of great spatial extension
superior,a ,  of high or superior quality
short,a ,  of limited duration
light,a ,  of little weight
neutral,a ,  of no distinctive quality
oral,a ,  of or involving the mouth
long,a ,  of relatively great duration
diplomat,n ,  official engaged in international negotiations
twin,n ,  offspring born at the same time
senior,a ,  older or higher in rank
nose,n ,  olfactory organ
bear,n ,  omnivorous mammal
leg,n ,  one of the supports for a piece of furniture
page,n ,  one side of one leaf
critic,n ,  one who offers opinions on art
survivor,n ,  one who outlives another
trainer,n ,  one who trains persons or animals
linear,a ,  one-dimensional
quarter,n ,  one-fourth
tray,n ,  open receptacle
open,v ,  open up
key,n ,  opening device
window,n ,  opening in the wall of a building
hole,n ,  opening into or through something
surgeon,n ,  operating surgeon
automatic,a ,  operating with minimal human intervention
aviation,n ,  operation of aircraft
driver,n ,  operator of a motor vehicle
view,n ,  opinion
poll,n ,  opinion poll
chance,n ,  opportunity
contrast,n ,  opposition or dissimilarity
distortion,n ,  optical aberration
mouth,n ,  oral cavity
satellite,n ,  orbiter
agenda,n ,  order of business
order,n ,  orderliness
liver,n ,  organ
donor,n ,  organ donor
shell,n ,  outer layer of nuts or fruits
printer,n ,  output device that prints data
scandal,n ,  outrage
overwhelm,v ,  overpower
exaggerate,v ,  overstate
open,a ,  overt
revolution,n ,  overthrow of government
obese,a ,  overweight
due,a ,  owed
possession,n ,  ownership
rate,n ,  pace
elephant,n ,  pachyderm
bucket,n ,  pail
shame,n ,  painful emotion
palm,n ,  palm tree
tract,n ,  pamphlet
trouser,n ,  pants
lot,n ,  parcel of land having fixed boundaries
uncle,n ,  parent's brother
parking,n ,  parking space
blade,n ,  part of a knife
drawer,n ,  part of a piece of furniture
member,n ,  part of a social group
root,n ,  part of plant
shoulder,n ,  part of the body
colon,n ,  part of the large intestine
thigh,n ,  part of the leg
jaw,n ,  part of the skull
player,n ,  participant
bride,n ,  participant in a marriage ceremony
play,v ,  participate in games or sport
perforate,v ,  pass in or through
faint,v ,  pass out
swallow,v ,  pass through the esophagus
aisle,n ,  passage between seats or supermarket shelves
passage,n ,  passageway
tunnel,n ,  passageway
heat,n ,  passion
love,n ,  passion
graze,v ,  pasture
patent,n ,  patent of invention
terrace,n ,  patio
nationalist,n ,  patriot
syndrome,n ,  pattern of symptoms
hesitate,v ,  pause or hold back in uncertainty or unwillingness
charge,v ,  pay with a credit card
pension,n ,  payment during retirement
royalty,n ,  payment for a patent or copyright
rent,n ,  payment to a landlord
ring,v ,  peal
traffic,n ,  pedestrians or vehicles
glance,v ,  peek
punish,v ,  penalize
retiree,n ,  pensioner
race,n ,  people belonging to the same genetic stock
population,n ,  people who inhabit a territory
see,v ,  perceive by sight
smell,v ,  perceive by the olfactory sense
taste,v ,  perceive by the sense of taste
hear,v ,  perceive sound
recognize,v ,  perceive to be the same
percent,n ,  percentage
absolute,a ,  perfect or complete
benefit,n ,  performance to raise money for a charitable cause
performer,n ,  performing artist
risk,n ,  peril
century,n ,  period of 100 years
magazine,n ,  periodic publication
journal,n ,  periodical
review,n ,  periodical
cycle,n ,  periodically repeated sequence
die,v ,  perish
pass,n ,  permission to enter or do something
vertical,a ,  perpendicular
persist,v ,  persevere
porter,n ,  person employed to carry luggage and supplies
rider,n ,  person riding an animal
ward,n ,  person under protection or custody
conductor,n ,  person who collects fares
vegetarian,n ,  person who eats no meat
virgin,n ,  person who has never had sex
connection,n ,  person who is influential
slave,n ,  person who is owned
bomber,n ,  person who plants bombs
representative,n ,  person who represents others
patient,n ,  person who requires medical care
witness,n ,  person who testifies in court
consumer,n ,  person who uses goods or services
worker,n ,  person who works at a specific occupation
hero,n ,  person with exceptional courage
radical,n ,  person with radical ideas
name,n ,  person's reputation
personality,n ,  personal attributes
staff,n ,  personnel
cabinet,n ,  persons appointed by a head of state
authority,n ,  persons who exercise administrative control
sweat,n ,  perspiration
basic,a ,  pertaining to a base or basis
operational,a ,  pertaining to a process
dramatic,a ,  pertaining to theater
request,n ,  petition
photograph,n ,  photo
camera,n ,  photographic camera
film,n ,  photographic film
look,n ,  physical appearance
assault,n ,  physical attack
human body,n ,  physical body
attraction,n ,  physical force
size,n ,  physical magnitude
pain,n ,  physical pain
shelter,n ,  physical protection
physics,n ,  physical science
cold,a ,  physically cold
broken,a ,  physically separated into pieces
prescription,n ,  physician's instructions
collect,v ,  pick up
photography,n ,  picture taking
chalk,n ,  piece of chalk
patch,n ,  piece of cloth
bed,n ,  piece of furniture
furniture,n ,  piece of furniture
table,n ,  piece of furniture
field,n ,  piece of land
mechanism,n ,  piece of machinery
sheet,n ,  piece of paper
stick,n ,  piece of wood
stereotype,v ,  pigeonhole
mole,n ,  pigmented spot on the skin
squeeze,v ,  pinch
dismissal,n ,  pink slip
organ,n ,  pipe organ
arena,n ,  place for spectacles
bury,v ,  place in the ground as for hiding
insert,v ,  place inside
mosque,n ,  place of worship
temple,n ,  place of worship
load,v ,  place on a surface or a conveyance
sow,v ,  place seeds into the ground
address,n ,  place where a person or organization can be found
arrangement,n ,  placement
plot,v ,  plan secretly
star,n ,  plane figure with 5 or more points
Venus,n ,  planet evening star morning star
meeting,n ,  planned coming together
biology,n ,  plant and animal life
bulb,n ,  plant bulb
flower,n ,  plant cultivated for its blooms or blossoms
houseplant,n ,  plant for indoor use
fossil,n ,  plant or animal remains
weed,n ,  plant that crowds out cultivated plants
sculpture,n ,  plastic art
credit card,n ,  plastic money
panel,n ,  plate or sheet that is a component of something
play,v ,  play on an instrument
move,n ,  player's turn to move a piece or act
card,n ,  playing card
king,n ,  playing card
heart,n ,  playing card in the major suit of hearts
club,n ,  playing card in the minor suit of clubs
pen,n ,  playpen
slide,n ,  plaything
swing,n ,  plaything
toy,n ,  plaything
fragrant,a ,  pleasant-smelling
attractive,a ,  pleasing to the eye or mind
abundant,a ,  plentiful
bed,n ,  plot of ground in which plants are growing
shower,n ,  plumbing fixture
sink,n ,  plumbing fixture
looting,n ,  plundering
dive,v ,  plunge into water
concession,n ,  point conceded
location,n ,  point in space
extent,n ,  point or degree to which something extend
direct,v ,  point somebody into a certain direction
corner,n ,  point where three areas or surfaces meet
poison,n ,  poisonous substance
campaign,n ,  political campaign
party,n ,  political party
opposition,n ,  political party opposed
ideology,n ,  political theory
colony,n ,  politically controlled country
pyramid,n ,  polyhedron
pop,n ,  pop music
bacon,n ,  pork
dose,n ,  portion of medicine
model,n ,  poser for a photographer or painter or sculptor
easy,a ,  posing no difficulty
side,n ,  position
lead,n ,  position of leadership
charismatic,a ,  possessing a magnetic personality
beautiful,a ,  possessing beauty
rich,a ,  possessing material wealth
acquisition,n ,  possession
possibility,n ,  possible action
station,n ,  post
stamp,n ,  postage stamp
card,n ,  postcard
tail,n ,  posterior part of the body of a vertebrate
strong,a ,  potent
possible,a ,  potential
potential,n ,  potentiality
pocket,n ,  pouch inside a garment
flour,n ,  powdery foodstuff
influence,n ,  power to affect persons or events
blow,n ,  powerful stroke
application,n ,  practical application
realism,n ,  pragmatism
priority,n ,  precedence
exact,a ,  precise
precision,n ,  preciseness
predator,n ,  predatory animal
horoscope,n ,  prediction of the future
racism,n ,  prejudice
chauvinist,n ,  prejudiced person
bake,v ,  prepare with dry heat
ready,a ,  prepared
prescription,n ,  prescription drug
gift,n ,  present
production,n ,  presentation for the stage or screen or radio or TV
jam,n ,  preserve
keep,v ,  preserve
administration,n ,  presidency
presidency,n ,  presidentship
push,v ,  press
lobby,n ,  pressure group
pressure,n ,  pressure sensation
glory,n ,  prestige
prestige,n ,  prestigiousness
mainstream,n ,  prevailing thought
lie,n ,  prevarication
quotation,n ,  price quotation
primary,n ,  primary election
chimpanzee,n ,  primate
crude,a ,  primitive
form,n ,  printed document with spaces in which to write
publication,n ,  printed work
press,n ,  printing press
hostage,n ,  prisoner held for ransom
award,n ,  prize
chance,n ,  probability
investigation,n ,  probe
process,n ,  procedure
gradual,a ,  proceeding in small stages
perception,n ,  process of perceiving
march,n ,  procession of people
manufacturer,n ,  producer
warm,a ,  producing a comfortable degree of heat
culture,n ,  product of cultivating micro-organisms
professor,n ,  prof
uniform,n ,  professional clothing
professional,n ,  professional person
chair,n ,  professorship
technique,n ,  proficiency
forecast,n ,  prognosis
throw,v ,  project through the air
arrow,n ,  projectile
prediction,n ,  projection
tooth,n ,  projection on a gear
pledge,v ,  promise solemnly
marketing,n ,  promoting and selling
fair,n ,  promotional gathering of producers
row,v ,  propel with oars
distance,n ,  property created by the space between two objects or points
strength,n ,  property of being physically or mentally strong
pitch,n ,  property of sound
advocate,n ,  proponent
quota,n ,  proportional share
advice,n ,  proposal for an appropriate course of action
proposal,n ,  proposition
suggestion,n ,  proposition
owner,n ,  proprietor someone who owns a business
secure,a ,  protected
protection,n ,  protecting someone or something
screen,n ,  protective covering
shield,n ,  protective covering
demonstrator,n ,  protester
pride,n ,  proud feeling
entertain,v ,  provide entertainment
cover,v ,  provide with a covering
feed,v ,  provide with food
state,n ,  province
soul,n ,  psyche
analysis,n ,  psychoanalysis
analyst,n ,  psychoanalyst
psychology,n ,  psychological science
demonstration,n ,  public display
sensation,n ,  public excitement
show,n ,  public exhibition or entertainment
forum,n ,  public meeting
publicity,n ,  public scrutiny
riot,n ,  public violence
edition,n ,  publication
volume,n ,  publication
promotion,n ,  publicity
write,v ,  publish
pool,n ,  puddle
drag,v ,  pull against a resistance
bracket,n ,  punctuation mark
colon,n ,  punctuation mark
penalty,n ,  punishment
button,n ,  push button
install,v ,  put into an office or a position
plant,v ,  put or set into the ground
execute,v ,  put to death
dilemma,n ,  quandary
number,n ,  quantity
prey,n ,  quarry hunted animal
problem,n ,  question
challenge,n ,  questioning a statement
quiet,a ,  quiescent
silence,n ,  quiet
fraction,n ,  quotient
proportion,n ,  quotient of magnitude of a part and magnitude of the whole
radiation sickness,n ,  radiation syndrome
decay,n ,  radioactive decay
radiation,n ,  radioactivity
train,n ,  railroad train
shower,n ,  rain shower
rain,n ,  rainfall
object,v ,  raise an objection
pump,v ,  raise fluid with a pump
square,v ,  raise to the second power
band,n ,  range of frequencies between two limits
ecstasy,n ,  rapture
reason,n ,  rationality
response,n ,  reaction
world,n ,  reality
reality,n ,  realness
graduate,v ,  receive an academic degree
beneficiary,n ,  recipient
mutual,a ,  reciprocal
negative,a ,  reckoned in a direction opposite to positive
credit,n ,  recognition
appreciate,v ,  recognize with gratitude
referral,n ,  recommendation to consult someone
album,n ,  record album
document,v ,  record in detail
film,v ,  record on film
square,n ,  rectangle with four equal sides
matrix,n ,  rectangular array
correction,n ,  rectification
red,n ,  redness
cut,n ,  reduction of amount or number
polish,v ,  refine
sugar,n ,  refined sugar
mirror,n ,  reflector
camp,n ,  refugee camp
deny,v ,  refuse to grant
